city,iata
Albemarle,
Vancouver,
Connellsville,
Ortonville,
Waskish,
Peru,
Tonasket,
Wilson,
Gettysburg,
Buckhannon,
Sequim,
Kenbridge,
Clinton,
Berkeley Springs,
Williamsburg,
Mount Olive,
Crisfield,
Hulett,
Clarksville,
South Boston,
Crewe,
Forest,
Moneta,
Williamsburg,
Ocracoke,
Quinton,
Wallops Island,WAL
Waynesburg,WAY
Wilkes-Barre,
Enid,
Winder,
Los Angeles,
Lancaster,
Winfield/Arkansas City,
Willows,
Winnemucca,
Warner Robins,
Wrightstown,WRI
Worland,WRL
White Sands,
Westerly,
Watsonville,
Waterville,
Wildwood,
Woodward,
West Yellowstone,
Apopka,
Brooksville,
Arcadia,
Lake Wales,
Belle Glade,
Carrabelle,
Titusville,
Sebastian,
Tampa,
Sunray,
Lakeland,
New Smyrna Beach,
Friona,
Indiantown,
Malabar,
Williston,
Bridgeport,
Palm Coast,
Allentown,
Cocoa Beach,
Fayetteville/Springdale/,XNA
North,
Tappahannock,
Groom Lake,
Longville,
Springfield,
Tea,
Mandan,
Chetek,
Fort Yates,
West Branch,
Park River,
Anita,
New Hudson,
Wautoma,
Viroqua,
Crandon,
Indian River,
Ionia,
Tomah,
Parshall,
Sandusky,
Kalkaska,
Atlanta,
East Jordan,
Hillman,
Detroit,YIP
Yakima,YKM
Yankton,
Youngstown/Warren,YNG
Valparaiso,
,
Zeeland,
Elkin,
Pottsville,
Zephyrhills,ZPH
Zuni Pueblo,
Zanesville,ZZV
Basile,
Addis,
Belle Rose,
Abita Springs,
Hammond,
Plaquemine,
Breaux Bridge,
Bossier City,
Lake Charles,
Mamou,
Folsom,
Rayne,
Lacassine,
Lake Arthur,
Monroe,
Monroe,
Monterey,
Convent,
Vidalia,
Breaux Bridge,
Prairieville,
Port Allen,
Cottonport,
Coushatta,
Dixie,
St. Joseph,
Gilliam,
Robson,
Eunice,
Spearsville,
Abbeville,
Kaplan,
Bastrop,
Angola,
Iota,
Iowa,
Houma,
Duson,
Breaux Bridge,
Bunkie,
Amite,
Cheneyville,
Clinton,
Covington,
Crowley,
Crowley,
Parks,
Enon,
Gjader,
Korce,
Kukes,
Kucove,
Tirana,TIA
Vlore,
Tsalapita,
Radomir,
Tenevo,
Zimnitsa,
Sapareva Banya,
Podem,
Maslarevo,
Stryama,
Konush,
Leskovo,
Stefanovo,
Smolnitsa,
Sokolovo,
Boboshevo,
Mustrak,
Graf Ignatievo,
Kamenets,
Petrich,
Burgas,BOJ
Bohot,
Dolna Banya,
Gorna Oryahovitsa,GOZ
Grivitsa,
Haskovo,
Ihtiman,
Yambol,JAM
Kainardzha,
Kalvacha,
Lesnovo,
Gabrovnitsa,
Plovdiv,PDV
Graf Ignatievo,
Dolna Mitropoliya,PVN
Primorsko,
Erden,
Sofia,SOF
Sliven,
Silistra,SLS
Stryama,
Stara Zagora,SZR
Targovishte,
Vidin,VID
Balchik,
Varna,VAR
Izgrev,
Nicosia,ECN
Larnarca,LCA
Paphos,PFO
,AKT
Zaton,
Dubrovnik,DBV
Losinj,LSZ
Vukovar,
Cepin,
Slavonski,
Osijek,OSI
Vinkovci,
Pula,PUY
Medulin,
Unije Island,
Vrsar,
Grobnicko,
Rijeka,RJK
Otocac,
Brac Island,BWK
Hvar Island,
Split,SPU
Sinj,
Varazdin,
Cakovec,
Daruvar,
Zagreb,ZAG
Busevec,
Zadar,ZAD
Bjelovar,
Zagreb,
Jayena,
Albacete,ABC
Alcolea,
Alicante,ALC
Almeria,LEI
Ampuriabraba,
Ranon,OVD
Alfes,
Malaga,
Cordoba,ODB
Bilbao,BIO
Jaen,
Burgos,RGS
Barcelona,BCN
Badajoz,BJZ
Corral dev Ayllon,
Alp,
Sant Pere Sallavinera,
Calamocha,
Huesca,
Huesca,
Castellon de La Plana,CDT
Culleredo,LCG
Luciana,
Madrid,ECV
Segovia,
Lleida,ILD
Castellon de la Plana,
Badajoz,
Villacastin,
Segovia,
Armilla,
Sevilla,
Girona,GRO
Granada,GRX
Getafe,
Guadalupe,
Soria,
Monflorite/Alcala del Obispo,
Hinojosa del Duque,
Ibiza,IBZ
Barcelona,
Torre de Juan Abad,
Madrigalejo Del Monte,
Jerez de la Forntera,XRY
Sevilla,
Valdepenas,
San Javier,MJV
Canovas,
Linares,
Sabadell,QSA
Albacete,
Leon,LEN
Logrono,RJL
Lillo,
Madrid,MAD
Gibraleon,HEV
Malaga,AGP
Menorca Island,MAH
Corvera,RMU
Moron,OZP
Murcia,
Oviedo,
Manresa,
Toledo,
Muchamiel,
Toledo,
Huesca,
Toledo,
Ontur,
Palma De Mallorca,PMI
Cuenca,
Pamplona,PNA
Palma del Rio,
Los Pozuelos De Calatrava,
Requena,
Alcantarilla,
Robledillo De Mohernando,
Lugo,
Reus,REU
Rota,ROZ
Salamanca,SLM
Mallorca Island,
Almodovar del Campo,
Sanguesa,
Menorca Island,
Hondarribia,EAS
Sotos,
Santiago de Compostela,SCQ
Montferrer / Castellbo,LEU
Valladolid,
Badajoz,
Villamartin,
La Iglesuela,
Trebujena,
Madrid,TOJ
Segovia,
Valladolid,
Valladolid,
Valencia,VLC
Valladolid,VLL
Lugo,
Viso del Marques,
Alava,VIT
Vigo,VGO
Santander,SDR
Zaragoza,ZAZ
Sevilla,SVQ
Soucelles,
Plan-de-Dieu,
Chambley,
Dieppe,DPE
Marck,CQF
Compiegne,XCP
Le Treport,
Laon-Chambry,XLN
Peronne/Saint-Quentin,XSJ
Soissons-Cuffies,
Nangis/Les Loges,
Argentan,
Les Moeres,XDK
La Fleche,
Berck,
Conde-sur-noireau,
Bagnoles-de-l'Orne/Couterne,
Rethel,
Albert/Bray,BYF
Montdidier,
Falaise,
Le Touquet-Paris-Plage,LTQ
Le Touquet,
Valenciennes/Denain,XVS
Valenciennes,
Valenciennes,
Amiens/Glisy,QAM
Agen/La Garenne,AGF
Cazaux (La Teste-de-Buch),
Bordeaux/Merignac,BOD
Bergerac/Roumaniere,EGC
Toulouse/Francazal,
Cognac/Chateaubernard,CNG
La Rochelle/Ile de Re,LRH
Poitiers/Biard,PIS
Poitiers,
Montlucon/Gueret,MCU
Limoges/Bellegarde,LIG
Mont-de-Marsan,XMJ
Niort/Souche,NIT
Toulouse/Blagnac,TLS
Pau/Pyrenees (Uzein),PUF
Muret/Lherm,
Muret,
Tarbes/Lourdes/Pyrenees,LDE
Angouleme/Brie/Champniers,ANG
Brive-la-Gaillarde,BVE
Perigueux/Bassillac,PGX
Perigueux,XDA
Biarritz/Anglet/Bayonne,BIQ
Biarritz,XCX
Biarritz,
Cahors/Lalbenque,ZAO
Cahors,
Cahors,XGT
Cahors,
Saint-Girons/Antichan,
Arcachon/La Teste-de-Buch,XAC
Albi/Le Sequestre,LBI
Albi,
Castres/Mazamet,DCM
Toulouse/Lasbordes,
Millau/Larzac,
Millau,
Millau,
Millau,
Graulhet/Montdragon,
Rodez/Marcillac,RDZ
Rodez,
Rodez,
Ussel/Thalamy,
Rodez,
Villeneuve-sur-Lot,
Rodez,
Royan/Medis,RYN
Mimizan,
Aire-sur-Adour,
Montauban,XMW
Royan,
Royan,
Royan,
Royan,
Auch/Lamothe,
Libourne/Artigues-de-Lussac,XLR
Pamiers/Les Pujols,
Pamiers,
Pamiers,
Marmande/Virazeil,
Rochefort/Saint-Agnant,RCO
Rochefort,
Rochefort,
Rochefort,
Rochefort,
Rochefort,XSL
Rochefort,XTB
Rochefort,
Rochefort,
Rochefort,
Rochefort,
Rochefort,
Condat-Sur-Vezere,
Rochefort,
Dinan,
Ushant,
Pontivy,
Pontivy,
Pontivy,
Aubigny-sur-Nere,
Pontivy,
Pontivy,
Pontivy,
Pontivy,
Pontivy,
Pontivy,
,
Pontivy,
Pontivy,
Redon,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Ile d'Yeu,IDY
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Ancenis,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Brienne-le-Chateau,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Guiscriff,
Colmar/Houssen,CMR
Mulhouse/Habsheim,
Colmar,
Colmar,
Colmar,
Beaune/Challanges,XBV
Colmar,
Colmar,
Colmar,
Dole/Tavaux,DLE
Joigny,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Dole,
Verdun/Le Rozelier,XVN
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,
Verdun,MVV
Verdun,
Aubenas/Ardeche Meridional,OBS
Le Puy/Loudes,LPY
Saint-Flour/Coltines,
St Flour,
Bourg/Ceyzeriat,
Bourg,
Bourg,AHZ
Villefranche/Tarare,
Villefranche,
Villefranche,
Moulins/Montbeugny,
Moulins,
Moulins,
Moulins,
Saint-Affrique/Belmont,
Cassagnes-Begonhes,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Chaumont/Semoutiers,
Mauleon,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Moulins,
Metz / Nancy,ETZ
Metz-Nancy/Lorraine,
Angers/Marce,ANE
Angers,
Angers,
Lurcy-Levis,
Angers,XAV
Bastia/Poretta,BIA
Calvi/Sainte-Catherine,CLY
Calvi,
Calvi,
Figari Sud-Corse,FSC
Figari/Sud Corse,
Figari/Sud Corse,
Ajaccio/Napoleon Bonaparte,AJA
Ajaccio,
Ajaccio,
Propriano,PRP
Ajaccio,
Solenzara,SOZ
Corte,
Ajaccio,MFX
Ajaccio,
Ajaccio,
Auxerre/Branches,AUF
Chambery/Aix-les-Bains,CMF
Clermont-Ferrand/Auvergne,CFE
Bourges,BOU
Chambery/Challes-les-Eaux,
Bourges,
Chalon/Champforgueil,
Annemasse,QNJ
Courcheval,CVF
Chalon,
Lyon,LYS
Macon/Charnay,QNX
Saint-Yan,SYT
Roanne/Renaison,RNE
Annecy/Meythet,NCY
Annecy,XMK
Annecy,
Grenoble/Saint-Geoirs,GNB
Montlucon/Domerat,
Valence/Chabeuil,VAF
Vichy/Charmeil,VHY
Aurillac,AUR
Chateauroux/Deols,CHR
Lyon/Bron,LYN
Lyon,
Lyon,
Le Luc/Le Cannet,
Cannes/Mandelieu,CEQ
Cannes,
Cannes,
Cannes,
Saint-Etienne/Boutheon,EBU
Istres/Le Tube,QIE
Carcassonne/Salvaza,CCF
Marseille,MRS
Nice,NCE
Orange/Caritat,XOG
Perpignan/Rivesaltes,PGF
Le Castellet,CTT
Le Castellet,BAE
Ales/Deaux,XAS
Montpellier/Mediterranee,MPL
Beziers/Vias,BZR
Avignon/Caumont,AVN
Avignon,
Avignon,
Salon,
Lezignan-Corbieres,
Avignon,GAT
Mende/Brenoux,MEN
Mende,SCP
Mende,
Mende,
Mende,
Mende,
Carpentras,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Mende,
Avord,
Beauvais/Tille,BVA
Chateaudun,
Saumur/Saint-Florent,XSU
Evreux/Fauville,EVX
Evreux,XAN
Evreux,
Le Havre/Octeville,LEH
Abbeville (Buigny/Saint-Maclou),XAB
Orleans/Bricy,ORE
Chalons/Vatry,XCR
Chalons,
Chalons,
Chalons,
Les Sables-d'Olonne,LSO
Rouen/Vallee de Seine,URO
Blois/Le Breuil,XBQ
Blois,QTJ
Blois,
Tours/Val de Loire (Loire Valley),TUF
Cholet/Le Pontreau,CET
Laval/Entrammes,LVA
Laval,
Laval,
Laval,
Orleans/Saint-Denis-de-l'Hotel,
Orleans,
Paris,LBG
Creil,CSF
Creil,
Creil,
Creil,
Paris,CDG
Paris,
Coulommiers/Voisins,
Paris,
Melun/Villaroche,
Toussus-le-Noble,TNF
Paris,ORY
Paris,
Paris,
Pontoise,POX
Pontoise,
Villacoublay/Velizy,VIY
Villacoublay,
Villacoublay,
Villacoublay,
Reims/Prunay,
Troyes/Barberey,QYR
Luneville/Croismare,
Troyes,
Etain/Rouvres,
Autun/Bellevue,
Nevers/Fourchambault,NVS
Nevers,
Cambrai/Epinoy,XCB
Maubeuge/Elesmes,XME
Cambrai,
Cambrai,
Besancon/La Veze,
Besancon,
Besancon,
Phalsbourg/Bourscheid,
Lille/Lesquin,LIL
Lille,
Lille,
Merville/Calonne,HZB
Merville,
Charleville-Mezieres,XCZ
Vesoul/Frotey,XVO
Charleville-Mezieres,
Charleville-Mezieres,
Charleville-Mezieres,
Charleville-Mezieres,
Brest/Guipavas,BES
Cherbourg/Maupertus,CER
Dinard/Pleurtuit/Saint-Malo,DNR
La Baule-Escoublac,LBY
Granville,GFR
Deauville,DOL
Lorient/Lann/Bihoue,LRT
La Roche-sur-Yon/Les Ajoncs,EDM
Landivisiau,LDV
Caen/Carpiquet,CFR
Lanveoc/Poulmic,
Le Mans/Arnage,LME
Rennes/Saint-Jacques,RNS
Lannion,LAI
Rennes,
Quimper/Pluguffan,UIP
Nantes,NTE
Saint-Brieuc/Armor,SBK
Morlaix/Ploujean,MXN
Vannes/Meucon,VNE
Vannes,
Saint-Nazaire/Montoir,SNR
St Nazaire,QBQ
Bale/Mulhouse,BSL
Colmar/Meyenheim,
Dijon/Longvic,DIJ
Dijon,
Metz/Frescaty,MZM
Epinal/Mirecourt,EPL
Haguenau,
Saint-Dizier/Robinson,
St Dizier,
St Dizier,
St Dizier,
Montbeliard/Courcelles,XMF
Nancy/Essey,ENC
Nancy/Ochey,
Pontarlier,
Belfort,BOR
Reims/Champagne,RHE
Strasbourg,SXB
Strasbourg,
Strasbourg,
Strasbourg,
Luxeuil/Saint-Sauveur,
,
Luxeuil,VTL
Cuers/Pierrefeu,
Toulon/Hyeres/Le Palyvestre,XHE
Hyeres,
Hyeres,
Hyeres,
Hyeres,
Hyeres,
Hyeres,
Nimes/Garons,FNI
La Mole,LTT
Miquelon,MQC
Saint-Pierre,FSP
Amberieu,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
Guer,
St Pierre I,
St Pierre I,
Damblain,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
St Pierre I,
Lamia,
Crete Island,
Triodhon,
Chios Island,
Andravida,PYR
Agrinion,AGQ
Alexandroupolis,AXD
Athens,HEW
Athens,ATH
Alexandria,
Nea Anchialos,VOL
Elefsina,
Pyrgos,
Chios Island,JKH
Porto Cheli,PKH
Ikaria Island,JIK
Ioannina,IOA
Heraklion,HER
Kastoria,KSO
Kithira Island,KIT
Kefallinia Island,EFL
Kastelorizo Island,KZS
Kalamata,KLX
Filipos,
Marathon,
Kos Island,KGS
Karpathos Island,AOK
Kerkyra Island,CFU
Kasos Island,KSJ
Kavala,KVA
Kalymnos Island,
Kozani,KZI
Leros Island,LRS
Limnos Island,LXS
Larisa,LRA
Megara,
Mykonos Island,JMK
Milos Island,MLO
Marathon,
Mytilene,MJT
Naxos Island,JNX
Paros Island,PAS
Astypalaia Island,JTY
Preveza/Lefkada,PVK
Rodes Island,
Rodes Island,RHO
,
Patras,GPA
Souda,CHQ
Sedes,
Skiathos,JSI
Samos Island,SMI
Syros Island,JSY
Sparti,SPJ
Santorini Island,JTR
Crete Island,JSH
Stefanovilion,
Skiros Island,SKU
Tanagra,
Crete Island,
Tripoli,
Thessaloniki,SKG
Tatoi,
Zakynthos Island,ZTH
Balassagyarmat,
Bekescsaba,
Budapest,BUD
Budaors,
Debrecen,DEB
Dunakeszi,
Dunaujvaros,
Ersekcsanad,
Esztergom,
Farkashegy,
Fertoszentmiklos,
Godollo,
Gyomai,
Gyongyos Pipishegy,
Budapest,
Hajduszoboszlo,
Jakabszallas,
Kecsked,
Kecskemet,
Kiskunfelegyhaza,
Budapest,
Kaposujlak,
Miskolc,MCQ
Eger,
Nagykanizsa,
Nyiregyhaza,
Ocseny,
Papa,
Pecs-Pogany,PEV
Gyor,QGY
Szentkiralyszabadja,
Siofok-Kiliti,
Sarmellek,SOB
Szolnok,
Szolnok-Szandaszolos,
Szombathely,
Szentes,
Taszar,TZR
Tokol,
Szeged,QZD
Zalaegerszeg,
Foligno,
L'Aquila,
Aquino,
Capua,
Foggia,
Crotone,CRV
Bari,BRI
Foggia,FOG
Grottaglie,TAR
,LCC
Pescara,PSR
Brindisi,BDS
Gioia Del Colle,
Martina Franca,
Lamezia Terme,SUF
Comiso,CIY
Catania,CTA
Lampedusa,LMP
Pantelleria,PNL
Palermo,PMO
Palermo,
Reggio Calabria,REG
Trapani,TPS
,NSY
Vicenza,
Belluno,BLX
Ca Negra,
Reggio Emilia,
Fano,
Lugo,
Vicenza,
Cortina D'Ampezzo,
Legnago,
Mantova,
Pavullo,
Ravenna,RAN
Trento,ZIA
Modena,
Ferrara,
Salgareda,
Alghero,AHO
Decimomannu,DCI
Cagliari,CAG
Olbia,OLB
Oristano,FNU
Arbatax,TTB
Alessandria,
Como,
Varese,
Biella,
Milano,
Voghera,
Vercelli,
Casale Monferrato,
Varese,
Caiolo,
Marina Di Massa,
Cremona,
Bergamo,
Torino,
Milano,
Milan,MXP
Bergamo,BGY
Torino,TRN
Albenga,ALL
Genova,GOA
Milan,LIN
Cameri,
Parma,PMF
Novi Ligure,
Piacenza,
Aosta,AOT
Cuneo,CUF
Lecce,
Aviano,AVB
Bolzano,BZO
Cervia,
Udine,UDN
Bologna,BLQ
Ferrara,
Gorizia,
Treviso,TSF
Codroipo,
Forli,FRL
Ghedi,
Modena,
Verona,
Brescia,VBS
Trieste,TRS
Rimini,RMI
Istrana,
Vicenza,VIC
Padova,
Venezia,
Verona,VRN
Ancona,AOI
Venezia,VCE
Arezzo,
Lucca,LCV
Rieti,
Siena,SAY
Sarzana,
Roma,CIA
Pomezia,
Rome,FCO
Guidonia,
Frosinone,
Salerno,QSR
Marina  Di Campo,EBA
Latina,
Caserta,
Napoli,NAP
Pisa,PSA
Firenze,FLR
Grosetto,GRS
Roma,
Viterbo,
Perugia,PEG
Ajdovscina,
Bled,
Bovec,
,
Celje,
Divaca,
Ljubljana,LJU
,MBX
Murska Sobota,
Novo mesto,
Postojna,
,
Portoroz,POW
Slovenc Gradec,
Velenje,
Breclav,
Benesov,
Bohunovice,
Broumov,
Bubovice,
Cheb,
Ceska Lipa,
Chotumov,
Cernovice,
Medlanky,
Chocen,
Chrudim,
Ceske Budejovice,
Chotebor,
Caslav,
Dvur Kralove Nad Labem,
Erpuzice,
Frydlant,
Havlickuv Brod,
Horice,
Hodkovice Nad Mohelkou,
Hradec Kralove,
Hranice,
Holesov,GTW
Ralsko,
Hosin,
Horovice,
Jaromer,
Jicin,
Jindrichuv Hradec,
Jihlava,
Krizanov,
Prague,
Plana,
Kladno,
Kromeriz,
Kolin,
Krnov,
Klatovy,
Uherske Hradiste,UHE
Karlovy Vary,KLV
Kyjov,
Liberec,
Plzen,
Letnany,
Mlada Boleslav,
Mnichovo Hradiste,
Mikulovice,
Moravska Trebova,
Most,
Marianske Lazne,MKA
Ostrava,OSR
Namest,
Nove Mesto Nad Metuji Morave,
Nymburk,
Olomouc,
Otrokovice,
Policka,
Panensky Tynec,
Pardubice,PED
Pribyslav,
Prostejov,
Letkov,
Pribram,
Podhoramy,
Prerov,PRV
Prague,PRG
Rybnice,
Rana,
Rakovnik,
Roudnice Nad Labem,
Stankov,
Mostkovice,
Skutec,
Slany,
Sobeslav,
Strunkovice,
Strakonice,
Sumperk,
Sazena,
Tabor,
Brno,BRQ
Tocna,
Tachov,
Touzim,
Tabor,
Usti Nad Labem,
Usti Mad Orlici,
Vlasin,
Vysoke Myto,
Vodochoky,
Velke Porici,
Vrchlabi,
Vyskov,
Zabreh,ZBE
Zbraslavice,
Zatek,
Zamberk,
Znojmo,
Mount Carroll,
Mundelein,
Naperville,
Enfield,
North Henderson,
Arad,
Greenfield,
Downers Grove,
Oquawka,
Manteno,
New Athens,
Macomb,
Capron,
Paxton,
Good Hope,
Wapella,
Sterling,
Morris,
Frankfort,
Peru,
Peru,
Gillespie,
Piper City,
Athens,
Jerseyville,
Plainfield,
Streator,
Plato Center,
Paw Paw,
Polo,
Pontiac,
Rishon LeZion,
Prophetstown,
Putnam,
Putnam,
Ransom,
Ramsey,
Rochelle,
Rock City,
Rockford,
Rockford,
Rockford,
Rockford,
Rockton,
Rockton,
Rockton,
Rockton/Belvidere,
Rock City,
Roscoe,
Round Lake,
Rutland,
Tel Aviv,TLV
Beersheva,BEV
Rehovot,
Ein Shemer,
Eilat,ETH
Sapir,EIY
Katzrin,
Haifa,HFA
Beersheba,
Hatzor,
Herzliya,
Rosh Pina,RPN
Kiryat Shmona,KSW
Afula,
Mitzpe Ramon,
Masada,MTZ
Beersheba,VTM
Eilat,VDA
Haifa,
Beersheba,MIP
Tel Aviv,SDV
Yotvata,YOT
Luqa,MLA
Ottenschlag,
Dobersberg,
Voeltendorf,
Krems,
Leopoldsdorf,
Wiener Neustadt,
Altlichtenwarth,
Spitzerberg,
Eisenstadt,
Stockerau,
Bad Voslau,
Fuerstenfeld,
Punitz,
Trieben,
Kapfenberg,
Lanzen,
Mariazell,
Niederoeblarn,
Pinkafeld,
Timmersdorf,
Weiz,
Hohenems / Dornbirn,HOH
St. Johann In Tirol,
Kufstein,
Reutte,
Feldkirchen,
Ferlach,
Friesach,
Lienz,
Mayerhofen,
Notsch Im Gailtal,
Wolfsberg,
Scharnstein,
Eferding,
Freistadt,
St. Georgen Am Ybbsfelde,
Hofkirchen,
Ried,
Micheldorf,
Linz,
Schaerding / Suben,
Seitenstetten,
Gmunden,
Wels,
Mauterndorf,
Graz,GRZ
Innsbruck,INN
Klagenfurt am Worthersee,KLU
Linz,LNZ
Salzburg,SZG
Vienna,VIE
Zell Am See,
Wiener Neustadt,
Langenlebarn,
Zeltweg,
,
,
,
Vila do Porto,SMA
,BGC
Beja,BYJ
Braga,BGZ
Chaves,CHV
,CBP
Corvo,CVU
,
,COV
,
Santa Cruz das Flores,FLW
Faro,FAO
Santa Cruz da Graciosa,GRW
Horta,HOR
,
Leiria,
Alijo,
Lajes,TER
Lousa,
Funchal,FNC
Monfortinho,
Mirandela,
Montargil,
,
Montijo,
Mogadouro,
Ota,
,
Ponta Delgada,PDL
Pico Island,PIX
,PRM
Porto,OPO
Vila Baleira,PXO
Lisbon,LIS
,
,
,SIE
Velas,SJZ
Santarem,
,
,
Maia,
,VRL
,VSE
Bihac,
Banja Luka,BNX
Banja Luka,
Tuzla,
Livno,
Mostar,OMO
Prijedor,
Sarajevo,SJJ
Tuzla,TZL
Visoko,
Ianca,
Fetesti,
Boboc,
Arad,ARW
Bacau,BCM
Baia Mare,BAY
Bucharest,BBU
Constanta,CND
Cluj-Napoca,CLJ
Caransebes,CSB
Campia Turzii,
Craiova,CRA
Iasi,IAS
Oradea,OMR
Bucharest,OTP
Sibiu,SBZ
Satu Mare,SUJ
Suceava,SCV
Tulcea,TCE
Targu Mures,TGM
Timisoara,TSR
Tuzla,
Zachary,
Winnsboro,
Mangham,
Ville Platte,
Westlake,
Winnsboro,
Thornwell,
Jigger,
Welsh,
Houma,
Slaughter,
Breaux Bridge,
St Francisville,
Iowa,
New Iberia,
Watson,
Ama,
Blanchard,
Gray,
Kaplan,
Monterey,
Plaquemine,
Zachary,
Opelousas,
Abbeville,
Benton,
Welsh,
Covington,
Slaughter,
Newellton,
Hammond,
St Francisville,
Shreveport,
Arnaudville,
Robert,
Gibson,
Bex,
La Chaux-de-Fonds,
,
Geneva,GVA
Saanen,
Lausanne,QLS
,QNC
La Cote,
,
Sion,SIR
,
Yverdon-les-Bains,
Alpnach,
Zurich,
,
,
,ZIN
Turtman,
Lodrino,
,
,
,
,
,
,
Winterthur,
,
,
Quinto,
,
,
,
,
Raron,
,
,
,
,
,
,
Lugano,LUG
Bern,BRN
Buochs,BXO
,
,
,ZHI
Zurich,ZRH
,
,
,
,ZJI
Bale/Mulhouse,MLH
,
Lucerne,
,
Bressaucourt,
Altenrhein,ACH
,SMV
Lommis,
,
,
Thun,
,
Ankara,
Ankara,ESB
Ankara,ANK
Ankara,
Adana,ADA
Adana,UAB
Afyonkarahisar,AFY
Antalya,AYT
Gaziantep,GZT
Iskenderun,
Kastamonu,KFS
Konya,KYA
Malatya,
Amasya,MZH
Samsun,SSX
Sivas,VAS
Zonguldak,ONQ
Malatya,MLX
Kayseri,ASR
Sivrihisar,
Tokat,TJK
Denizli,DNZ
Nevsehir,NAV
Istanbul,ISL
Alasehir,
Aydin,CII
Bursa,BTZ
Balikesir,BZI
Bandirma,BDM
Canakkale,CKZ
Eskisehir,ESK
Izmir,ADB
,
Izmir,IGL
,
Kutahya,
Usak,USQ
Ciftlikkoy,
,KCO
Bursa,YEI
Dalaman,DLM
,
Corlu,TEQ
Bodrum,BXN
Istanbul,
Umraniye,
Eskisehir,AOE
Altintas,KZR
Elazig,EZS
Ordu,OGU
Diyarbakir,DIY
Erzincan,ERC
Erzurum,ERZ
Kars,KSY
Trabzon,TZX
Sanliurfa,SFQ
Van,VAN
Batman,BAL
Mus,MSR
Siirt,SXZ
Sinop,NOP
Kahramanmaras,KCM
Agri,AJI
Adiyaman,ADF
Mardin,MQM
Sanliurfa,GNY
Igdir,IGD
Hatay,HTY
Izmir,
Selcuk,
Isparta,ISE
Edremit,EDO
Bodrum,BJV
Gazipasa,GZP
Samsun,SZF
Istanbul,SAW
Gokceada,GKD
Istanbul,IST
Antalya,
Strymba,BZY
Marculesti,
Cahul,
,
Chisinau,KIV
Tiraspol,
Brazda,
Ohrid,OHD
Skopje,SKP
Gibraltar,GIB
,
Belgrad,BEG
Belgrade,
Bor,
Berane,IVG
Batajnica,BJY
Kikinda,
Kraljevo,
Nis,INI
Niksic,
Novi Sad,QND
Podgorica,TGD
Podgorica,
Prishtina,PRN
Batlava,
Sremska Mitrovica,
Smederevska palanka,
Subotica,
,
Tivat,TIV
Uzice,UZC
Valjevo,QWV
,
Zrenjanin,ZRE
Dubnica nad Vahom,
Holic,
Bratislava,BTS
Kamenica nad Cirochou,
Senec,
Kosice,KSC
Lucenec,LUE
Martin,
Malacky,
Nitra,
Prievidza,
Piestany,PZY
Partizanske,
Presov,POV
Senica,
Svidnik,
Sliac,SLD
Spisska Nova Ves,
Trencin,
Boleraz,
Poprad,TAT
Zilina,ILZ
Westport,
Holden,
Sheffield,
Berlin,
Charlton,
Ipswich,
Granville,
Oak Bluffs,
Maynard,
Ware,
Muskeget Island,
Pembroke,
Pembroke,
Sharon,
Sudbury,
Tuckernuck Island,
Uxbridge,
Washington,
Westfield,
Windsor,
Worthington,
New Braintree,
Sutton,
Big Ambergris Cay,
Cockburn Town,GDT
Middle Caicos,MDS
,NCA
Pine Cay,PIC
Providenciales Island,PLS
,XSC
Salt Cay,SLX
Pocomoke City,
Ridge,
Chesapeake City,
Cambridge,
Welcome,
Tompkinsville,
Queen Anne,
Chestertown,
Emmittsburg,
Benedict,
Butler,
Cambridge,
Chestertown,
Taneytown,
Centreville,
Deale,
Church Hill,
Clarksville,
Easton,
Forest Hill,
Hebron,
Indian Head,
Denton,
Keymar,
Lakeshore,
Leonardtown,
Dayton,
Lisbon,
Long Green,
Lusby,
Salisbury,
Nanjemoy,
New Windsor,
Pocomoke City,
Chestertown,
Rising Sun,
Church Hill,
Chestertown,
St Michaels,
Chestertown,
Still Pond,
Sudlersville,
Unionville,
Unionville,
Urbana,
Comus,
Woodbine,
Cambridge,
La Plata,
Ridgely,
Church Hill,
Cecilton,
Farmington,
Finksburg,
